Year,State,Median_Income_All,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Median_Income_Other,Median_Income_Two_Races,Median_Income_White_Non_Hispanic,Median_Income_Hispanic,Gini_Index,Median_Family_Income,Median_Earnings_All,Median_Earnings_Male,Median_Earnings_Female,Total_Population_Education,High_School_Graduate,Some_College_No_Degree,Associates_Degree,Bachelors_Degree,Graduate_Degree
2019,Massachusetts,85843.0,90758.0,59035.0,27885.0,104420.0,90444.0,49742.0,69083.0,93275.0,51175.0,0.4803,108348.0,45737.0,52201.0,38781.0,4850576.0,1015844.0,142222.0,229385.0,1197208.0,142164.0
2020,Massachusetts,87744.0,93813.5,62913.5,44080.0,109169.5,67202.5,53444.5,65821.0,95470.0,52700.5,0.4848,111085.0,48210.0,54923.0,40710.0,4892665.5,999138.0,141962.0,235986.5,1223978.0,149218.5
2021,Massachusetts,89645.0,96869.0,66792.0,60275.0,113919.0,43961.0,57147.0,62559.0,97665.0,54226.0,0.4893,113822.0,50683.0,57645.0,42639.0,4934755.0,982432.0,141702.0,242588.0,1250748.0,156273.0
2022,Massachusetts,94488.0,101391.0,63189.0,87730.0,117855.0,43961.0,61039.0,71552.0,102027.0,61523.0,0.4976,120263.0,52528.0,61410.0,44843.0,4947384.0,1000319.0,136031.0,257805.0,1252187.0,167856.0
2019,Michigan,59584.0,63326.0,36833.0,44722.0,90409.0,,44259.0,43816.0,63704.0,49761.0,0.4634,75703.0,33328.0,41137.0,27339.0,6894627.0,1732283.0,273698.0,515815.0,1252685.0,85443.0
2020,Michigan,61541.0,65536.0,38160.5,46739.5,94923.5,,49096.0,51549.0,65785.5,53689.0,0.46465,78113.0,35293.0,42788.0,29203.0,6933261.0,1727022.0,277601.0,523087.0,1295423.5,87457.5
2021,Michigan,63498.0,67746.0,39488.0,48757.0,99438.0,,53933.0,59282.0,67867.0,57617.0,0.4659,80523.0,37258.0,44439.0,31067.0,6971895.0,1721761.0,281504.0,530359.0,1338162.0,89472.0
2022,Michigan,66986.0,71609.0,42056.0,54651.0,101652.0,68518.0,61183.0,63251.0,71829.0,62497.0,0.4685,85865.0,40610.0,48049.0,32767.0,6978952.0,1681221.0,281124.0,539210.0,1361139.0,94849.0
2019,Minnesota,74593.0,77311.0,41570.0,40051.0,86270.0,,58115.0,58613.0,77843.0,57591.0,0.4434,93584.0,40977.0,47704.0,34418.0,3847212.0,824041.0,115956.0,251001.0,942830.0,54838.0
2020,Minnesota,76156.5,79086.5,44654.5,44202.5,89479.0,,61389.5,63970.5,79383.0,60846.5,0.44635,96575.5,42415.0,49280.5,36079.5,3872977.0,806058.5,118699.0,257213.5,968356.5,58161.5
2021,Minnesota,77720.0,80862.0,47739.0,48354.0,92688.0,,64664.0,69328.0,80923.0,64102.0,0.4493,99567.0,43853.0,50857.0,37741.0,3898742.0,788076.0,121442.0,263426.0,993883.0,61485.0
2022,Minnesota,82338.0,85697.0,51320.0,45227.0,93773.0,54396.0,65473.0,74586.0,85844.0,63399.0,0.456,105324.0,47393.0,54101.0,40545.0,3918565.0,797540.0,119592.0,266686.0,995083.0,65650.0
