State,Year,Median_Income_All,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Median_Income_Other,Median_Income_Two_Races,Median_Income_White_Non_Hispanic,Median_Income_Hispanic,Gini_Index,Median_Family_Income,Median_Earnings_All,Median_Earnings_Male,Median_Earnings_Female,Total_Population_Education,High_School_Graduate,Some_College_No_Degree,Associates_Degree,Bachelors_Degree,Graduate_Degree
Georgia,2021,66559,76809,51590,56752,90137,83810,53854,65157,77047,59633,0.4787,80731,37512,42378,32319,7234271,1585583,344793,419053,1514014,118236
Hawaii,2021,84857,81090,64676,71083,90519,77970,65159,85534,81554,75809,0.4552,100890,40595,46197,35668,1021687,242919,26176,64921,226849,15610
Idaho,2021,66474,69120,58393,62380,78422,,55926,58649,69391,59663,0.4577,79993,34941,41681,27228,1257566,276651,61631,92940,253762,14532
Illinois,2021,72205,79304,42118,63926,97831,81512,61895,67311,79694,65075,0.4824,90861,41504,49318,35446,8730697,1876064,318929,589065,1932282,135093
Indiana,2021,62743,65569,42775,46864,80948,,56257,59917,65642,57653,0.4480,79243,37998,45150,31477,4559631,1269024,248972,314335,843069,55721
Iowa,2021,65600,67389,41436,42941,84495,62608,53964,50624,67652,52082,0.4489,84908,39068,45184,32193,2137261,562603,84069,161077,441878,30958
Kansas,2021,64124,66666,45527,47955,87945,60617,50936,56510,66969,54102,0.4599,82637,38071,44565,31760,1942133,413617,80028,165082,427464,28000
Kentucky,2021,55573,58040,39247,23910,71005,,51862,42188,58081,47848,0.4757,70060,34928,40832,30285,3077867,804890,203064,203710,488546,36013
Louisiana,2021,52087,64597,33576,62550,60352,,48894,49455,64728,54249,0.4988,67045,34896,42696,27410,3117186,850729,172713,178427,523475,37196
Maine,2021,64767,65080,33952,55285,70055,114468,65539,66603,65064,66030,0.4663,82842,39725,45199,34785,1015078,252457,48138,60656,224987,19055
Maryland,2021,90203,100980,71790,60714,113117,146213,72160,90113,101178,81032,0.4631,110978,50548,55578,43906,4273260,888124,130923,257787,956533,115978
Massachusetts,2021,89645,96869,66792,60275,113919,43961,57147,62559,97665,54226,0.4893,113822,50683,57645,42639,4934755,982432,141702,242588,1250748,156273
Michigan,2021,63498,67746,39488,48757,99438,,53933,59282,67867,57617,0.4659,80523,37258,44439,31067,6971895,1721761,281504,530359,1338162,89472
Minnesota,2021,77720,80862,47739,48354,92688,,64664,69328,80923,64102,0.4493,99567,43853,50857,37741,3898742,788076,121442,263426,993883,61485
Mississippi,2021,48716,61340,33377,42264,56386,-666666666,33329,47509,61318,42941,0.4808,64035,32242,38974,27481,1968167,468575,117612,124967,303656,23016
Missouri,2021,61847,65668,41132,53856,83431,83261,60412,50804,65820,53178,0.4706,79084,37083,42751,31458,4226634,1111093,192801,302328,823215,54527
Montana,2021,63249,64608,44492,36501,59204,-666666666,63525,64491,64833,57253,0.4693,79958,35272,41372,30201,766758,171246,34281,59044,171377,13138
Nebraska,2021,66817,69017,43139,53298,68339,,61354,61309,69319,57636,0.4560,88484,38898,45032,32218,1292536,279521,45679,100264,286510,20768
Nevada,2021,66274,72808,41828,51902,72994,57328,57386,67465,72941,62401,0.4726,78526,37052,41192,32346,2192826,508559,88826,169818,393208,22948
New Hampshire,2021,88465,88378,82455,64908,106393,-666666666,73846,80081,88306,72727,0.4348,108208,45677,53551,38537,1008318,227099,40805,64794,247356,16493
New Jersey,2021,89296,99514,61029,62834,138278,64208,59782,73435,100584,63608,0.4853,110102,50021,56833,40814,6474427,1479429,169993,346790,1664353,114349
New Mexico,2021,53992,62477,42295,41920,75276,2499,48521,48401,64539,48685,0.4861,67786,34133,38975,30336,1450549,307881,64616,97614,231745,32572
